State,District,Total Population,Median Age,Male Pop,Female Pop,Male Pct,White Pop,White Pct,2012 Outcome,2014 Outcome,2016 Outcome,2018 Outcome
Alabama,1,713410,40,343769,369641,0.481867369,479792,0.672533326,Republican,Republican,Republican,Republican
Alabama,2,673776,38.5,328474,345302,0.48751217,434984,0.645591413,Republican,Republican,Republican,Republican
Alabama,3,710488,38.1,346742,363746,0.488033577,487936,0.686761775,Republican,Republican,Republican,Republican
Alabama,4,685553,40.7,332923,352630,0.485626932,594163,0.866691561,Republican,Republican,Republican,Republican
Alabama,5,718713,39.5,353533,365180,0.491897322,544610,0.757757269,Republican,Republican,Republican,Republican
Alabama,6,700401,39.1,333957,366444,0.476808286,548436,0.783031435,Republican,Republican,Republican,Republican
Alabama,7,672406,36.3,320498,351908,0.476643575,222797,0.331342968,Democrat,Democrat,Democrat,Democrat
Alaska,At Large,739795,34.5,385776,354019,0.521463378,474856,0.641875114,Republican,Republican,Republican,Republican
Arizona,1,765810,37.6,386962,378848,0.505297659,509036,0.664702733,Democrat,Democrat,Democrat,Democrat
Arizona,2,720429,41.4,356549,363880,0.494912059,588191,0.816445479,Democrat,Republican,Republican,Democrat
Arizona,3,773297,31.8,386288,387009,0.499533814,541057,0.699675545,Democrat,Democrat,Democrat,Democrat
Arizona,4,771214,48.1,388442,382772,0.503676022,683277,0.885975877,Republican,Republican,Republican,Republican
Arizona,5,822497,38,400993,421504,0.487531262,694713,0.844638947,Republican,Republican,Republican,Republican
Arizona,6,783087,42.3,383960,399127,0.490315891,665644,0.850025604,Republican,Republican,Republican,Republican
Arizona,7,833654,29.7,417518,416136,0.500828881,553328,0.663738194,Democrat,Democrat,Democrat,Democrat
Arizona,8,777208,43.1,373391,403817,0.480426089,642289,0.826405544,Republican,Republican,Republican,Republican
Arizona,9,769074,33.5,393619,375455,0.511809007,564882,0.73449629,Democrat,Democrat,Democrat,Democrat
Arkansas,1,722287,39.7,359880,362407,0.498250695,557968,0.772501789,Republican,Republican,Republican,Republican
Arkansas,2,765193,37.4,371584,393609,0.485608206,540475,0.706325071,Republican,Republican,Republican,Republican
Arkansas,3,807421,35.5,401209,406212,0.496901864,669282,0.828913293,Republican,Republican,Republican,Republican
Arkansas,4,709378,40.8,347009,362369,0.489173614,525582,0.740905413,Republican,Republican,Republican,Republican
California,1,718214,42.3,361669,356545,0.503567182,617412,0.859649074,Republican,Republican,Republican,Republican
California,2,717999,44.3,355157,362842,0.494648321,567892,0.790937035,Democrat,Democrat,Democrat,Democrat
California,3,750271,35.2,377559,372712,0.503230166,508019,0.677114003,Democrat,Democrat,Democrat,Democrat
California,4,748410,44.6,372022,376388,0.49708315,634393,0.847654361,Republican,Republican,Republican,Republican
California,5,732438,40.2,355846,376592,0.485837709,452155,0.617328702,Democrat,Democrat,Democrat,Democrat
California,6,764344,34.4,372829,391515,0.487776446,370267,0.484424552,Democrat,Democrat,Democrat,Democrat
California,7,750860,38.7,366884,383976,0.488618384,470796,0.62700903,Democrat,Democrat,Democrat,Democrat
California,8,721449,34.2,360144,361305,0.499195369,552585,0.765937717,Republican,Republican,Republican,Republican
California,9,774266,35,382056,392210,0.493442822,406224,0.524656901,Democrat,Democrat,Democrat,Democrat
California,10,758005,34.6,378671,379334,0.499562668,561987,0.741402761,Republican,Republican,Republican,Democrat
California,11,764135,39.7,372376,391759,0.487317032,454724,0.59508333,Democrat,Democrat,Democrat,Democrat
California,12,774736,38.2,395971,378765,0.511104428,369755,0.477265804,Democrat,Democrat,Democrat,Democrat
California,13,766731,36.8,370995,395736,0.483865919,317337,0.413883096,Democrat,Democrat,Democrat,Democrat
California,14,756389,39.4,371201,385188,0.490754096,320344,0.423517529,Democrat,Democrat,Democrat,Democrat
California,15,785387,38.5,391891,393496,0.498978211,331442,0.42201106,Democrat,Democrat,Democrat,Democrat
California,16,729788,30.8,363274,366514,0.497780177,423863,0.580802918,Democrat,Democrat,Democrat,Democrat
California,17,771078,36.8,392124,378954,0.508539992,213102,0.276368928,Democrat,Democrat,Democrat,Democrat
California,18,742728,39.8,374708,368020,0.504502321,464984,0.626048836,Democrat,Democrat,Democrat,Democrat
California,19,770105,36.7,385661,384444,0.500790152,329817,0.428275365,Democrat,Democrat,Democrat,Democrat
California,20,744295,34.9,374320,369975,0.50291887,430748,0.578732895,Democrat,Democrat,Democrat,Democrat
California,21,723549,30,382399,341150,0.528504635,518307,0.716339875,Republican,Republican,Republican,Democrat
California,22,760328,32.2,373299,387029,0.490971002,540781,0.711246988,Republican,Republican,Republican,Republican
California,23,745328,34.5,381344,363984,0.511645879,560589,0.752137314,Republican,Republican,Republican,Republican
California,24,740039,36,371203,368836,0.50159924,596837,0.806493982,Democrat,Democrat,Democrat,Democrat
California,25,721740,35.8,363474,358266,0.503607947,457045,0.633254358,Republican,Republican,Republican,Democrat
